,pnu,ldCode,pblntfPclnd,lndpclAr,prposArea1,lndcgrCode,tpgrphHgCode,tpgrphFrmCode,roadSideCode,pclndIndex,pclndChgRt,juso,trafficAmount,distance
64,4111113500100050000,4111113500,262800,2506,44,02,02,07,08,104.18,0.167,경기도 수원시 장안구 송죽동 5,1553317,2.453995773302324
65,4111113500100060000,4111113500,11100,1081,44,05,03,07,12,104.18,0.167,경기도 수원시 장안구 송죽동 6,1553317,2.531948743543118
66,4111113500100070000,4111113500,118000,443,44,01,03,07,12,104.18,0.167,경기도 수원시 장안구 송죽동 7,1553317,2.513179074472252
67,4111113500100080001,4111113500,840400,1963,43,23,02,04,08,104.18,0.167,경기도 수원시 장안구 송죽동 8-1,1553317,2.446741267240308
68,4111113500100080002,4111113500,840400,3997,43,23,02,04,08,104.18,0.167,경기도 수원시 장안구 송죽동 8-2,1553317,2.471971367416509
69,4111113500100080003,4111113500,121700,1838,43,14,02,07,08,104.18,0.167,경기도 수원시 장안구 송죽동 8-3,1553317,2.379756245836906
70,4111113600100010000,4111113600,55000,463,44,02,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 1,2733957,2.596059848470055
71,4111113600100020000,4111113600,53000,1041,44,01,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 2,2733957,2.593507029422915
72,4111113600100030000,4111113600,55000,317,44,02,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 3,2733957,2.64555881855899
73,4111113600100040000,4111113600,55000,509,44,02,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 4,2733957,2.675743214084367
74,4111113600100050000,4111113600,55000,3220,44,02,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 5,2733957,2.648118550016384
75,4111113600100060000,4111113600,53300,1203,44,01,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 6,2733957,2.656430333707632
76,4111113600100070000,4111113600,55000,301,44,02,03,07,10,106.403,0.43,경기도 수원시 장안구 조원동 7,2733957,2.699240016002418
77,4111113600100080000,4111113600,50500,456,44,02,03,07,12,106.403,0.43,경기도 수원시 장안구 조원동 8,2733957,2.842077228959195
78,4111113600100080001,4111113600,50500,410,44,05,03,03,12,106.403,0.43,경기도 수원시 장안구 조원동 8-1,2733957,2.846608581897935
79,4111113600100080002,4111113600,130000,40,43,05,03,03,12,106.403,0.43,경기도 수원시 장안구 조원동 8-2,2733957,2.855480814249134
80,4111113700100030000,4111113700,402600,6730,43,22,02,07,04,103.669,0.234,경기도 수원시 장안구 연무동 3,2733957,1.89748647928876
81,4111113700100040004,4111113700,1304000,779,14,08,02,07,04,103.669,0.234,경기도 수원시 장안구 연무동 4-4,2733957,1.792713739402169
82,4111113700100040008,4111113700,1080000,184,14,08,03,03,08,103.669,0.234,경기도 수원시 장안구 연무동 4-8,2733957,1.697616380513127
83,4111113700100040009,4111113700,349800,133,14,14,00,00,00,103.669,0.234,경기도 수원시 장안구 연무동 4-9,2733957,1.683323055140447
84,4111113700100040010,4111113700,1145000,166,14,08,03,02,09,103.669,0.234,경기도 수원시 장안구 연무동 4-10,2733957,1.695346402079954
85,4111113700100040011,4111113700,1060000,158,14,08,03,04,08,103.669,0.234,경기도 수원시 장안구 연무동 4-11,2733957,1.714181425884203
86,4111113700100040012,4111113700,884000,180,14,08,03,07,10,103.669,0.234,경기도 수원시 장안구 연무동 4-12,2733957,1.717842329496257
87,4111113700100040013,4111113700,884000,195,14,08,03,07,10,103.669,0.234,경기도 수원시 장안구 연무동 4-13,2733957,1.739309892812775
88,4111113700100040014,4111113700,597300,38,14,14,00,00,00,103.669,0.234,경기도 수원시 장안구 연무동 4-14,2733957,1.725453083062836
89,4111113700100040015,4111113700,1102000,171,14,08,03,02,08,103.669,0.234,경기도 수원시 장안구 연무동 4-15,2733957,1.736926675655345
90,4111113800100010000,4111113800,8170,701,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 1,1553317,2.72742436533034
91,4111113800100020000,4111113800,8170,595,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 2,1553317,2.8600075823113
92,4111113800100020001,4111113800,8170,1286,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 2-1,1553317,2.834366607220115
93,4111113800100020002,4111113800,8170,740,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 2-2,1553317,2.868987029868607
94,4111113800100030000,4111113800,8170,1587,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 3,1553317,2.931263718892775
95,4111113800100040000,4111113800,7940,668,44,05,03,07,10,103.669,0.234,경기도 수원시 장안구 상광교동 4,1553317,3.192580897140328
96,4111113800100050000,4111113800,8920,1058,44,05,03,07,10,103.669,0.234,경기도 수원시 장안구 상광교동 5,1553317,3.21357815524899
97,4111113800100050001,4111113800,8420,311,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 상광교동 5-1,1553317,3.262700612683098
98,4111113800100060000,4111113800,8500,4691,44,05,03,07,10,103.669,0.234,경기도 수원시 장안구 상광교동 6,1553317,3.259959366265544
99,4111113800100070000,4111113800,9610,704,44,05,03,07,08,103.669,0.234,경기도 수원시 장안구 상광교동 7,1553317,3.259627159016481
100,4111113900100010000,4111113900,22100,1653,44,02,00,00,00,103.669,0.234,경기도 수원시 장안구 하광교동 1,2733957,2.820757045165142
101,4111113900100010001,4111113900,22100,370,44,19,00,00,00,103.669,0.234,경기도 수원시 장안구 하광교동 1-1,2733957,2.800446300453067
102,4111113900100010002,4111113900,22100,757,44,19,00,00,00,103.669,0.234,경기도 수원시 장안구 하광교동 1-2,2733957,2.793457328480452
103,4111113900100010003,4111113900,22100,691,44,02,02,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-3,2733957,2.817467435559752
104,4111113900100010005,4111113900,3300,658,44,17,00,00,00,103.669,0.234,경기도 수원시 장안구 하광교동 1-5,2733957,2.85114375509849
105,4111113900100010006,4111113900,6790,602,44,17,03,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-6,2733957,2.847842817700793
106,4111113900100010007,4111113900,12300,314,44,02,03,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-7,2733957,2.908279612699346
107,4111113900100010008,4111113900,12300,463,44,02,03,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-8,2733957,2.911747198246295
108,4111113900100010009,4111113900,11000,671,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-9,2733957,2.907242688600888
109,4111113900100010010,4111113900,10600,1005,44,05,03,07,12,103.669,0.234,경기도 수원시 장안구 하광교동 1-10,2733957,2.94842749656294
110,4111312600100630000,4111312600,1468000,15212.8,14,10,02,04,05,108.101,0.718,경기도 수원시 권선구 세류동 63,2733957,4.680865194014553
111,4111312600100630002,4111312600,1270000,44.4,14,10,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 63-2,1553317,4.692480299351422
112,4111312600100660005,4111312600,1468000,152,14,08,02,04,05,108.101,0.718,경기도 수원시 권선구 세류동 66-5,1553317,4.665369041088495
113,4111312600100660007,4111312600,1468000,69,14,08,02,04,05,108.101,0.718,경기도 수원시 권선구 세류동 66-7,1553317,4.663556438934187
114,4111312600100660011,4111312600,1270000,264.8,14,08,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 66-11,1553317,4.693982179762
115,4111312600100660013,4111312600,1270000,217.2,14,08,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 66-13,1553317,4.696193453122318
116,4111312600100660014,4111312600,1270000,163.5,14,08,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 66-14,1553317,4.6999087092195
117,4111312600100660018,4111312600,1468000,54.6,14,08,02,04,05,108.101,0.718,경기도 수원시 권선구 세류동 66-18,1553317,4.668152700992468
118,4111312600100660019,4111312600,1270000,67.2,14,08,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 66-19,1553317,4.679819670694431
119,4111312600100660020,4111312600,1270000,2.3,14,08,02,08,04,108.101,0.718,경기도 수원시 권선구 세류동 66-20,1553317,4.675214871053832
